date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:26	17791/17791	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1618773928121-c32242e63f39?auto=format&fit=crop&w=328&h=224	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1618773928121-c32242e63f3971dc.jpg	(from https://grupoalfa.net/)
11:37:27	10236/10236	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@400&subset=cyrillic-ext&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfAZJhiJ-Ek-_EeAmMb70e.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:37:28	7788/7788	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@400&subset=cyrillic&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfAZthiJ-Ek-_EeAmMa165.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:37:30	35056/35056	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@400&subset=latin-ext&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfAZFhiJ-Ek-_EeAmMaad0.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:37:30	23804/23804	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@400&subset=latin&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfAZ9hiJ-Ek-_EeA85c2.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:37:32	36104/36104	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@500&subset=latin-ext&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fAZFhiJ-Ek-_EeAmM61e2.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:37:32	1446907/1446907	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%22455f8b976f24c747f1420b0a04c622cc%22	https://cdn.voiceflow.com/widget-next/bundle.mjs	/home/jcminarro/websites/Grupo%20Alfa/cdn.voiceflow.com/widget-next/bundle.mjs	(from https://grupoalfa.net/)
11:37:32	65296/65296	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.pexels.com/videos/7578542/apartment-architecture-at-home-business-7578542.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=630&w=1200	/home/jcminarro/websites/Grupo%20Alfa/images.pexels.com/videos/7578542/apartment-architecture-at-home-business-75785428a9e.jpg	(from https://grupoalfa.net/proyectos)
11:37:32	24356/24356	URF---	200	added ('OK%20(cached)')	application/woff2		https://cdn.zyrosite.com/u1/google-fonts/font-file?family=Inter:wght@500&subset=latin&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fAZ9hiJ-Ek-_EeAe7b9.woff2	(from https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap)
11:38:21	10193/10193	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1518733057094-95b53143d2a7?auto=format&fit=crop&w=158&h=144	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1518733057094-95b53143d2a78b7b.jpg	(from https://grupoalfa.net/)
